actual,proposed
0.0,28.566953659057617
0.0,26.52564239501953
0.0,24.149274826049805
0.0,23.812612533569336
0.0,24.728595733642578
0.0,21.922914505004883
0.0,19.077123641967773
0.0,15.08405590057373
0.0,9.263578414916992
0.0,3.4435696601867676
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.1216905266046524
0.0,1.1974718570709229
0.0,4.1036176681518555
0.0,7.011012077331543
0.0,8.796531677246094
0.0,9.893073081970215
0.0,12.811968803405762
0.0,15.727289199829102
0.0,16.394939422607422
0.0,15.68222427368164
0.0,12.9991455078125
0.0,10.228647232055664
0.0,7.404461860656738
0.0,6.792781352996826
0.0,5.294391632080078
0.0,3.2514472007751465
0.0,1.9968128204345703
0.0,0.10356559604406357
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,17.594785690307617
0.0,27.64636993408203
0.0,36.064735412597656
0.0,42.357444763183594
0.0,46.22199249267578
0.0,53.08627700805664
0.0,57.30184555053711
0.0,61.013397216796875
0.0,63.29277038574219
0.0,65.81534576416016
0.0,67.36453247070312
0.0,68.31593322753906
0.0,71.50452423095703
0.0,74.22664642333984
0.0,75.89838409423828
0.0,78.04778289794922
0.0,78.24506378173828
0.0,78.3662109375
0.0,79.5633544921875
0.0,80.29855346679688
0.0,79.62732696533203
0.0,78.09236907958984
0.0,77.14970397949219
0.0,70.95719146728516
0.0,68.27691650390625
0.0,66.6308822631836
0.0,67.8653793334961
0.0,68.65589141845703
0.0,67.98625946044922
0.0,66.45237731933594
0.0,62.14216232299805
0.0,57.24964904785156
0.0,54.24501037597656
0.0,49.03165054321289
0.0,44.70722961425781
0.0,40.928733825683594
0.0,37.48550796508789
0.0,35.370914459228516
0.0,35.19501876831055
0.0,32.84151840209961
0.0,31.396163940429688
